EmployeeStatus,EmployeeType,EmployeeClassificationType,GenderCode,MaritalDesc,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Outcome,Training Duration(Days),Training Cost,Tenure (Years),Age,BusinessUnit_CCDR,BusinessUnit_EW,BusinessUnit_MSC,BusinessUnit_NEL,BusinessUnit_PL,BusinessUnit_PYZ,BusinessUnit_SVG,BusinessUnit_TNS,BusinessUnit_WBL,DepartmentType_Executive Office,DepartmentType_IT/IS,DepartmentType_Production       ,DepartmentType_Sales,DepartmentType_Software Engineering,Division_Billable Consultants,Division_Catv,Division_Corp Operations,Division_Engineers,Division_Executive,Division_Field Operations,Division_Fielders,Division_Finance & Accounting,Division_General - Con,Division_General - Eng,Division_General - Sga,Division_Isp,Division_People Services,Division_Project Management - Con,Division_Project Management - Eng,Division_Safety,Division_Sales & Marketing,Division_Shop (Fleet),Division_Splicing,Division_Technology / It,Division_Underground,Division_Wireless,Division_Wireline Construction,Division_Yard (Material Handling),JobFunctionDescription_Accounting,JobFunctionDescription_Administration,JobFunctionDescription_Administrative,JobFunctionDescription_Administrator,JobFunctionDescription_Analyst,JobFunctionDescription_Apprentice,JobFunctionDescription_Assistant,JobFunctionDescription_Associate,JobFunctionDescription_Attendant,JobFunctionDescription_Billing,JobFunctionDescription_Business Development,JobFunctionDescription_Ceo,JobFunctionDescription_Cfo,JobFunctionDescription_Chief Operating Officer,JobFunctionDescription_Cio,JobFunctionDescription_Civil Hand,JobFunctionDescription_Clerical,JobFunctionDescription_Clerk,JobFunctionDescription_Construction Manager,JobFunctionDescription_Contracts,JobFunctionDescription_Controller,JobFunctionDescription_Coordinator,JobFunctionDescription_Cpo,JobFunctionDescription_Crew Leader,JobFunctionDescription_Director,JobFunctionDescription_Drafter,JobFunctionDescription_Driller,JobFunctionDescription_Driver,JobFunctionDescription_Electrician,JobFunctionDescription_Engineer,JobFunctionDescription_Estimator,JobFunctionDescription_Evp,JobFunctionDescription_Executive,JobFunctionDescription_Executive Assistant,JobFunctionDescription_Field Project Manager,JobFunctionDescription_Field Technician,JobFunctionDescription_Flagger,JobFunctionDescription_Foreman,JobFunctionDescription_General Manager,JobFunctionDescription_Generalist,JobFunctionDescription_Groundman,JobFunctionDescription_Helpdesk,JobFunctionDescription_Helper,JobFunctionDescription_Inspector,JobFunctionDescription_Intern,JobFunctionDescription_Labor,JobFunctionDescription_Laborer,JobFunctionDescription_Lineman,JobFunctionDescription_Locator,JobFunctionDescription_Manager,JobFunctionDescription_Mechanic,JobFunctionDescription_Model Assistant,JobFunctionDescription_Operator,JobFunctionDescription_Planner,JobFunctionDescription_Principal,JobFunctionDescription_Program Manager,JobFunctionDescription_Project Controls,JobFunctionDescription_Project Coordinator,JobFunctionDescription_Project Manager,JobFunctionDescription_Purchasing,JobFunctionDescription_Recruiter,JobFunctionDescription_Recruiting,JobFunctionDescription_Runner,JobFunctionDescription_Safety,JobFunctionDescription_Safety Manager,JobFunctionDescription_Services,JobFunctionDescription_Shop,JobFunctionDescription_Specialist,JobFunctionDescription_Splicer,JobFunctionDescription_Supervisor,JobFunctionDescription_Support,JobFunctionDescription_Svp,JobFunctionDescription_Technician,JobFunctionDescription_Tester,JobFunctionDescription_Top Hand,JobFunctionDescription_Tower Hand,JobFunctionDescription_Traffic,JobFunctionDescription_Vp,JobFunctionDescription_Warehouse,JobFunctionDescription_Warehouse Manager,JobFunctionDescription_Warehouse Technician,JobFunctionDescription_Welder,State_AZ,State_CA,State_CO,State_CT,State_FL,State_GA,State_ID,State_IN,State_KY,State_MA,State_ME,State_MT,State_NC,State_ND,State_NH,State_NV,State_NY,State_OH,State_OR,State_PA,State_RI,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,RaceDesc_Black,RaceDesc_Hispanic,RaceDesc_Other,RaceDesc_White,Training Program Name_Customer Service,Training Program Name_Leadership Development,Training Program Name_Project Management,Training Program Name_Technical Skills,Training Type_Internal,PayZone_Zone B,PayZone_Zone C
0,0,2,0,3,1,4,-1.353393466,-0.725537844,0.007806435,1,-0.68822651,0.180418031,1.49625144,0.123021033,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,1,3,1,3,-0.655648081,-1.435457456,1.427158244,2,0.72255554,0.434660641,-0.446953957,0.341360149,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,1,1,3,1,4,-1.353393466,-0.725537844,-1.411545374,1,-0.68822651,-0.552291616,1.94130816,-1.116556715,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,2,1,2,1.437588076,1.404220993,0.717482339,0,0.017164515,0.399550767,0.493306719,-1.502134303,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,2,0,1,1,3,-0.655648081,1.404220993,0.007806435,1,1.427946565,-0.606438338,1.626320833,0.115278511,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,1,3,-0.655648081,-0.015618231,1.427158244,3,-0.68822651,0.994404759,1.309766406,1.274024331,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
0,1,2,0,0,0,4,-1.353393466,1.404220993,-0.70186947,3,1.427946565,-1.001424428,-0.716495351,1.678648523,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,2,-1.353393466,0.694301381,-0.70186947,3,0.017164515,0.8797277,-0.150771844,0.802814451,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,1,1,3,0,3,0.73984269,-0.015618231,0.007806435,3,0.017164515,0.911075803,2.119957688,-0.151064241,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
0,2,2,1,3,1,5,1.437588076,1.404220993,-0.70186947,1,1.427946565,-1.390786859,-0.605231171,1.235002021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
